place,category,x,y,address
달리는커피 서울논현점,음식점 > 카페 > 커피전문점 > 달리는커피,37.5095546645013,127.026573792681,서울 강남구 논현동 158-32
감성커피 강남논현점,음식점 > 카페 > 커피전문점 > 감성커피,37.509344710043,127.026664201223,서울 강남구 논현동 158-34
브라운래빗 논현점,음식점 > 카페 > 커피전문점,37.5095384367422,127.026616766451,서울 강남구 논현동 158-32
정글주스,음식점 > 카페 > 생과일전문점,37.5086008036419,127.029110345676,서울 강남구 논현동 172-11
필립서울,음식점 > 카페,37.509214945432,127.026752375809,서울 강남구 논현동 158-35
아이러브그릭 강남본점,음식점 > 카페,37.50896807579422,127.02672740501372,서울 강남구 논현동 159-23
북두칠성궁마고삼신당 대모산 신령 황후신당,음식점 > 카페 > 테마카페 > 사주카페,37.5076380726057,127.027252851119,서울 강남구 논현동 180-2
여왕커피,음식점 > 카페,37.5099786567564,127.028216222813,서울 강남구 논현동 156-1
논현동네카페 논현점,음식점 > 카페,37.5099966754952,127.02822188483,서울 강남구 논현동 156-1
문제적커피,음식점 > 카페 > 커피전문점,37.5083318546484,127.027216910641,서울 강남구 논현동 170
카페쑥스럽 논현점,음식점 > 카페,37.5092977212281,127.027262502783,서울 강남구 논현동 158-28
다있소카페,음식점 > 카페,37.5095195164108,127.026613366613,서울 강남구 논현동 158-32
북카페레벤,음식점 > 카페 > 테마카페 > 북카페,37.5115834447788,127.023662004286,서울 강남구 논현동 123
와플판다,음식점 > 카페 > 테마카페 > 디저트카페,37.510250056051,127.023168445214,서울 강남구 논현동 141-10
모쿠816,음식점 > 카페,37.5121487196118,127.026290811404,서울 강남구 논현동 125-12
위밋,음식점 > 카페 > 테마카페 > 디저트카페,37.5111092159395,127.02511753366,서울 강남구 논현동 124-33
메가MGC커피 논현가구거리점,음식점 > 카페 > 커피전문점 > 메가MGC커피,37.5109303671105,127.022898331893,서울 강남구 논현동 141-17
파스쿠찌 논현역점,음식점 > 카페 > 커피전문점 > 파스쿠찌,37.5103256715851,127.023516832588,서울 강남구 논현동 122-8
카페보니또 서울논현1호점,음식점 > 카페 > 커피전문점,37.5104048043503,127.024285973555,서울 강남구 논현동 122-25
inno,음식점 > 카페 > 커피전문점,37.51086530085309,127.02387781006108,서울 강남구 논현동 122-11
커피마나,음식점 > 카페,37.5125205049874,127.023583124153,서울 강남구 논현동 54-1
스포트라이트,음식점 > 카페,37.5111063711138,127.025775811798,서울 강남구 논현동 139-1
야카페,음식점 > 카페 > 커피전문점,37.5127003814463,127.025155392774,서울 강남구 논현동 56-14
신키네도 카페 논현점,음식점 > 카페 > 커피전문점,37.511752494624,127.025297589909,서울 강남구 논현동 124-15
샹스라이브피아노바,음식점 > 카페 > 테마카페 > 라이브카페,37.5112049820112,127.023865476552,서울 강남구 논현동 123-5
카페카이노스,음식점 > 카페,37.5122013990436,127.024325012398,서울 강남구 논현동 55-3
페이스트리테이블,음식점 > 카페 > 테마카페 > 디저트카페,37.51205481784027,127.02291224834688,서울 강남구 논현동 52-7
쥴리스커피,음식점 > 카페,37.5111190379897,127.025532637411,서울 강남구 논현동 139-9
502세컨즈카페 강남직영점,음식점 > 카페,37.5114022983049,127.02798715188,서울 강남구 논현동 134-10
아토커피랩,음식점 > 카페 > 커피전문점,37.5116222959121,127.027335736834,서울 강남구 논현동 137
와리가리커피,음식점 > 카페,37.5109014346244,127.027584307281,서울 강남구 논현동 148-10
고양이똥,음식점 > 카페,37.5117733745148,127.02856187592,서울 강남구 논현동 133
백억커피 논현점,음식점 > 카페,37.5104563550752,127.027512887095,서울 강남구 논현동 149-2
파퓰러커피,음식점 > 카페 > 커피전문점,37.512271988406354,127.02703849939314,서울 강남구 논현동 125-8
컨트롤브이,음식점 > 카페 > 커피전문점,37.512295156386,127.028143574537,서울 강남구 논현동 135-6
퐁치커피익스프레스 논현점,음식점 > 카페 > 커피전문점,37.5124700208892,127.027849558278,서울 강남구 논현동 126-8
봉보드카페,"가정,생활 > 여가시설 > 보드카페",37.510266353347824,127.02703551381252,서울 강남구 논현동 147-2
유캔두잇 강남논현점,음식점 > 카페 > 커피전문점 > 유캔두잇,37.510289701052,127.027375968706,서울 강남구 논현동 149
